"","IDENT","NOI","POIDS","SEXE","AGE","CSE","ACTEU","STC","AIDREF","SALRED","TPP"
"1","G0A56JP6","01",1776.5633537,2,66,56,1,2,NA,596,1
"2","G0A56JP6","02",1776.5633537,1,29,81,2,NA,5,NA,NA
"3","G0A56JR6","01",2044.9200617,2,27,38,1,2,NA,2700,1
"4","G0A56JS6","01",1897.5192433,2,29,37,1,2,NA,2666,1
"5","G0A56JT6","01",1754.2999504,1,31,37,1,2,NA,11967,1
"6","G0A56JU6","01",1643.8078854,2,24,NA,3,NA,5,NA,NA
"7","G0A56JV6","01",2191.0070385,1,27,46,1,2,NA,2000,1
"8","G0A56JV6","02",2191.0070385,2,25,37,1,2,NA,2800,1
"9","G0A56JW6","01",1616.747565,1,35,37,1,2,NA,2333,1
"10","G0A56JX6","01",1523.697023,1,31,38,1,2,NA,3500,1
"11","G0A56JX6","02",1523.697023,2,31,38,1,2,NA,2492,1
"12","G0A56JY6","01",1589.1296234,2,33,37,1,2,NA,3000,1
"13","G0A56JZ6","01",2692.1053657,1,31,NA,3,NA,5,NA,NA
"14","G0A56JZ6","02",2692.1053657,2,29,37,1,2,NA,3500,1
"15","G0A56K06","01",1778.3894696,2,23,35,1,2,NA,1500,1
"16","G0A56K06","02",1778.3894696,1,25,46,1,2,NA,1300,1
"17","G0A56MH6","01",3583.8205653,2,30,34,1,2,NA,1600,1
"18","G0A56MI6","01",1921.5837576,1,27,38,1,2,NA,3613,1
"19","G0A56MK6","01",1589.1296234,2,32,38,1,2,NA,3421,1
"20","G0A56ML6","01",1588.1520511,2,20,NA,3,NA,5,NA,NA
"21","G0A56MM6","01",1733.2295778,2,38,35,1,2,NA,1800,2
"22","G0A56MN6","01",1512.1129957,1,38,56,1,2,NA,2463,1
"23","G0A56MN6","02",1512.1129957,2,31,46,1,2,NA,2167,1
"24","G0A56MO6","01",1632.0580577,1,26,38,1,2,NA,2925,1
"25","G0A56MP6","01",1803.6191055,1,37,38,1,2,NA,3917,1
"26","G0A56MP6","02",1803.6191055,2,28,37,1,2,NA,2000,1
"27","G0A56MQ6","01",1254.1437998,1,23,46,1,2,NA,1080,1
"28","G0A56MR6","01",1950.9117187,1,27,54,1,2,NA,1517,1
"29","G0A56MR6","02",1950.9117187,2,27,54,1,2,NA,1500,1
"30","G0A56MS6","01",1975.6834233,2,26,31,1,2,NA,NA,1
"31","G0A56MT6","01",2169.9728768,1,30,37,1,2,NA,2600,1
"32","G0C5B116","01",1415.8182666,1,64,37,1,2,NA,3350,1
"33","G0C5B116","02",1415.8182666,2,61,NA,3,NA,5,NA,NA
